Parish,Outage Count,Total Customers,Outage Percent,Date,Time
Acadia,43,27392,0.00,8/28/12,21:20
Acadia,0,27392,0.00,8/29/12,6:31
Acadia,5,27392,0.00,8/29/12,9:39
Acadia,624,27645,0.02,8/29/12,15:23
Acadia,2821,27645,0.10,8/29/12,18:20
Acadia,2342,27645,0.08,8/30/12,3:23
Acadia,2487,27645,0.09,8/30/12,7:44
Acadia,69,27645,0.00,8/31/12,1:52
Acadia,0,27645,0.00,9/1/12,9:33
Acadia,0,27645,0.00,9/2/12,15:13
Acadia,0,27645,0.00,9/3/12,12:03
Acadia,0,27645,0.00,9/4/12,12:07
Acadia,0,27645,0.00,9/5/12,12:09
Acadia,0,27645,0.00,9/6/12,12:06
Allen,0,12083,0.00,8/28/12,21:20
Allen,0,12083,0.00,8/29/12,6:31
Allen,0,12083,0.00,8/29/12,9:39
Allen,170,12100,0.01,8/29/12,15:23
Allen,1375,12100,0.11,8/29/12,18:20
Allen,1196,12100,0.10,8/30/12,7:44
Allen,1293,12100,0.11,8/30/12,3:23
Allen,0,12100,0.00,8/31/12,1:52
Allen,0,12100,0.00,9/1/12,9:33
Allen,0,12100,0.00,9/2/12,15:13
Allen,0,12100,0.00,9/3/12,12:03
Allen,0,12100,0.00,9/4/12,12:07
Allen,0,12100,0.00,9/5/12,12:09
Allen,0,12100,0.00,9/6/12,12:06
Ascension,2369,45866,0.05,8/28/12,21:20
Ascension,11617,45866,0.25,8/29/12,6:31
Ascension,11804,45975,0.26,8/29/12,9:39
Ascension,24034,48695,0.49,8/29/12,15:23
Ascension,28820,48695,0.59,8/29/12,18:20
Ascension,27481,48695,0.56,8/30/12,7:44
Ascension,29400,48695,0.60,8/30/12,3:23
Ascension,11933,48695,0.25,8/31/12,1:52
Ascension,3859,48695,0.08,9/1/12,9:33
Ascension,523,48695,0.01,9/2/12,15:13
Ascension,364,48695,0.01,9/3/12,12:03
Ascension,110,48695,0.00,9/4/12,12:07
Ascension,0,48695,0.00,9/5/12,12:09
Ascension,0,48695,0.00,9/6/12,12:06
Assumption,15,11371,0.00,8/28/12,21:20
Assumption,947,11371,0.08,8/29/12,6:31
Assumption,3784,11536,0.33,8/29/12,15:23
Assumption,4355,11536,0.38,8/29/12,18:20
Assumption,4405,11371,0.39,8/29/12,9:39
Assumption,3518,11536,0.30,8/30/12,3:23
Assumption,3752,11536,0.33,8/30/12,7:44
Assumption,4598,11536,0.40,8/31/12,1:52
Assumption,566,11536,0.05,9/1/12,9:33
Assumption,117,11536,0.01,9/2/12,15:13
Assumption,39,11536,0.00,9/3/12,12:03
Assumption,63,11536,0.01,9/4/12,12:07
Assumption,46,11536,0.00,9/5/12,12:09
Assumption,0,11536,0.00,9/6/12,12:06
Avoyelles,215,21704,0.01,8/28/12,21:20
Avoyelles,0,21704,0.00,8/29/12,9:39
Avoyelles,112,21974,0.01,8/29/12,15:23
Avoyelles,215,21704,0.01,8/29/12,6:31
Avoyelles,1159,21974,0.05,8/29/12,18:20
Avoyelles,4634,21974,0.21,8/30/12,3:23
Avoyelles,8102,21974,0.37,8/30/12,7:44
Avoyelles,277,21976,0.01,8/31/12,1:52
Avoyelles,40,21976,0.00,9/1/12,9:33
Avoyelles,0,21976,0.00,9/2/12,15:13
Avoyelles,0,21976,0.00,9/3/12,12:03
Avoyelles,0,21976,0.00,9/4/12,12:07
Avoyelles,0,21976,0.00,9/5/12,12:09
Avoyelles,0,21976,0.00,9/6/12,12:06
Beauregard,71,19200,0.00,8/28/12,21:20
Beauregard,0,19200,0.00,8/29/12,6:31
Beauregard,0,19200,0.00,8/29/12,9:39
Beauregard,131,19282,0.01,8/29/12,15:23
Beauregard,199,19282,0.01,8/29/12,18:20
Beauregard,1489,19282,0.08,8/30/12,7:44
Beauregard,1499,19282,0.08,8/30/12,3:23
Beauregard,0,19282,0.00,8/31/12,1:52
Beauregard,0,19282,0.00,9/1/12,9:33
Beauregard,0,19282,0.00,9/2/12,15:13
Beauregard,0,19282,0.00,9/3/12,12:03
Beauregard,0,19282,0.00,9/4/12,12:07
Beauregard,0,19282,0.00,9/5/12,12:09
Beauregard,0,19282,0.00,9/6/12,12:06
Bienville,0,8968,0.00,8/28/12,21:20
Bienville,0,8968,0.00,8/29/12,6:31
Bienville,0,8968,0.00,8/29/12,9:39
Bienville,1,9147,0.00,8/29/12,15:23
Bienville,39,9147,0.00,8/29/12,18:20
Bienville,8,9147,0.00,8/30/12,3:23
Bienville,137,9147,0.01,8/30/12,7:44
Bienville,33,9147,0.00,8/31/12,1:52
Bienville,10,9147,0.00,9/1/12,9:33
Bienville,0,9147,0.00,9/2/12,15:13
Bienville,0,9147,0.00,9/3/12,12:03
Bienville,0,9147,0.00,9/4/12,12:07
Bienville,0,9147,0.00,9/5/12,12:09
Bienville,0,9147,0.00,9/6/12,12:06
Bossier,0,57101,0.00,8/28/12,21:20
Bossier,0,57101,0.00,8/29/12,6:31
Bossier,0,57101,0.00,8/29/12,9:39
Bossier,6,57121,0.00,8/29/12,15:23
Bossier,6,57121,0.00,8/29/12,18:20
Bossier,4,57121,0.00,8/30/12,3:23
Bossier,4,57121,0.00,8/30/12,7:44
Bossier,0,57441,0.00,8/31/12,1:52
Bossier,9,57441,0.00,9/1/12,9:33
Bossier,0,57441,0.00,9/2/12,15:13
Bossier,0,57441,0.00,9/3/12,12:03
Bossier,0,57441,0.00,9/4/12,12:07
Bossier,0,57441,0.00,9/5/12,12:09
Bossier,0,57441,0.00,9/6/12,12:06
Caddo,14,127830,0.00,8/28/12,21:20
Caddo,14,127830,0.00,8/29/12,6:31
Caddo,14,127830,0.00,8/29/12,9:39
Caddo,36,127830,0.00,8/29/12,15:23
Caddo,36,127830,0.00,8/29/12,18:20
Caddo,60,127830,0.00,8/30/12,3:23
Caddo,60,127830,0.00,8/30/12,7:44
Caddo,1146,128029,0.01,8/31/12,1:52
Caddo,22,128029,0.00,9/1/12,9:33
Caddo,0,128029,0.00,9/2/12,15:13
Caddo,0,128029,0.00,9/3/12,12:03
Caddo,0,128029,0.00,9/4/12,12:07
Caddo,0,128029,0.00,9/5/12,12:09
Caddo,0,128029,0.00,9/6/12,12:06
Calcasieu,12,90286,0.00,8/28/12,21:20
Calcasieu,6,90286,0.00,8/29/12,6:31
Calcasieu,72,90286,0.00,8/29/12,9:39
Calcasieu,996,94460,0.01,8/29/12,15:23
Calcasieu,2882,94460,0.03,8/29/12,18:20
Calcasieu,1337,94460,0.01,8/30/12,7:44
Calcasieu,3070,94460,0.03,8/30/12,3:23
Calcasieu,5,94460,0.00,8/31/12,1:52
